nohup: ignoring input
Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Solving IVP
t: 0.0, cost: 20.17365093299946, nfev: 116, v_opt: [-0.61498189 -0.03437681 -0.00313305]
t: 0.006675233121108301, cost: 20.172939284633838, nfev: 116, v_opt: [-0.57534636 -0.02930794 -0.0025297 ]
t: 0.012485112901986372, cost: 20.172312920495706, nfev: 96, v_opt: [-0.5431007  -0.02833965 -0.00250367]
t: 0.022724530492023776, cost: 20.17136636236491, nfev: 96, v_opt: [-0.50430495 -0.02640484 -0.00230699]
t: 0.030837388898428547, cost: 20.17041515346886, nfev: 96, v_opt: [-0.46779917 -0.02399963 -0.00203386]
t: 0.017548701106730003, cost: 20.17173382694729, nfev: 96, v_opt: [-0.51563295 -0.0271093  -0.0023868 ]
t: 0.043288741282623125, cost: 20.168318169091012, nfev: 96, v_opt: [-0.37912283 -0.01790761 -0.0013831 ]
t: 0.07311103900328192, cost: 20.16281099357642, nfev: 96, v_opt: [-2.03821427e-01 -5.54035744e-03 -4.56346182e-05]
t: 0.08305180491016818, cost: 20.16029354191026, nfev: 96, v_opt: [-0.09105678  0.00251838  0.00082592]
t: 0.036853836860846735, cost: 20.169219097202046, nfev: 96, v_opt: [-0.41322396 -0.02027283 -0.00163569]
t: 0.048929581976225184, cost: 20.167045358653667, nfev: 96, v_opt: [-0.32773978 -0.01429653 -0.00098709]
t: 0.056750570827456465, cost: 20.166352540126724, nfev: 96, v_opt: [-0.32524025 -0.01413026 -0.00097532]
t: 0.06252728585308379, cost: 20.165368753677043, nfev: 96, v_opt: [-0.29891399 -0.01227389 -0.00077587]
t: 0.06772273913196047, cost: 20.16452879319954, nfev: 96, v_opt: [-0.27860152 -0.01083803 -0.00061909]
t: 0.09707141301878981, cost: 20.15938203124313, nfev: 96, v_opt: [-0.17162741 -0.00327652  0.00019431]
t: 0.10272229457341715, cost: 20.15782764564698, nfev: 96, v_opt: [-0.10734728  0.0013014   0.00069097]
t: 0.08851414185526887, cost: 20.163017411186242, nfev: 96, v_opt: [-0.337436   -0.01495631 -0.00106265]
t: 0.11671369370822382, cost: 20.15572514731977, nfev: 96, v_opt: [-0.13191795 -0.00045207  0.00050152]
t: 0.12286429424578468, cost: 20.154850185750597, nfev: 96, v_opt: [-1.26883582e-01 -9.43140107e-05  5.34108828e-04]
t: 0.10779566219407583, cost: 20.156029920749656, nfev: 96, v_opt: [-0.05966351  0.00481452  0.00107687]
t: 0.14798262305330687, cost: 20.148327375784703, nfev: 96, v_opt: [-0.04900142  0.00561385  0.00116365]
t: 0.15716470495214588, cost: 20.146199521702542, nfev: 96, v_opt: [-0.06397837  0.00442875  0.00102505]
t: 0.132582205803607, cost: 20.152055467813145, nfev: 96, v_opt: [-0.0878706   0.00271264  0.0008416 ]
t: 0.13791418339002104, cost: 20.1511007735481, nfev: 96, v_opt: [-0.10139801  0.00173711  0.00073621]
t: 0.16273252713519182, cost: 20.144528300684645, nfev: 84, v_opt: [0. 0. 0.]
t: 0.16926323396707413, cost: 20.142881370853694, nfev: 96, v_opt: [0.02186386 0.01179549 0.00190383]
t: 0.17579270340785094, cost: 20.14119868914795, nfev: 96, v_opt: [0.03209856 0.01154466 0.00181202]
t: 0.18411596332202118, cost: 20.13900374600925, nfev: 96, v_opt: [0.04547631 0.01214884 0.00185595]
t: 0.1940292837774806, cost: 20.136328857493034, nfev: 96, v_opt: [0.06031464 0.01304568 0.00194758]
t: 0.1994683652523687, cost: 20.134840885362173, nfev: 96, v_opt: [0.06749294 0.01351614 0.00199688]
t: 0.2051303033272116, cost: 20.133302920045974, nfev: 96, v_opt: [0.07257367 0.01384261 0.00203049]
t: 0.2110057622473277, cost: 20.131620374310252, nfev: 96, v_opt: [0.08193468 0.01447202 0.00209788]
t: 0.22183781331786448, cost: 20.128497004102638, nfev: 96, v_opt: [0.09524881 0.01536332 0.0021877 ]
t: 0.22933887580298395, cost: 20.12634500978587, nfev: 96, v_opt: [0.10060039 0.0157225  0.00222558]
t: 0.24101001218780568, cost: 20.122874576181506, nfev: 96, v_opt: [0.1114139  0.01644689 0.00230239]
t: 0.249087465160996, cost: 20.120468480492, nfev: 96, v_opt: [0.11617723 0.01677769 0.00234129]
t: 0.26164868769574523, cost: 20.11662167320044, nfev: 96, v_opt: [0.12459991 0.01735168 0.00240069]
t: 0.2705087909568809, cost: 20.113899014936717, nfev: 96, v_opt: [0.12770948 0.01756132 0.00242301]
t: 0.28452787820553865, cost: 20.10949129916492, nfev: 96, v_opt: [0.13353169 0.01794644 0.0024582 ]
t: 0.29463792730050875, cost: 20.106291847139147, nfev: 96, v_opt: [0.13539979 0.01806203 0.00246838]
t: 0.31094898733676135, cost: 20.101040464925937, nfev: 96, v_opt: [0.1383169  0.0182362  0.00247589]
t: 0.31638600734884553, cost: 20.099278221141077, nfev: 96, v_opt: [0.13953611 0.01831555 0.00248347]
t: 0.32172345438954664, cost: 20.097542159092153, nfev: 96, v_opt: [0.13831754 0.01822411 0.00246889]
t: 0.33773579551165, cost: 20.092292227892816, nfev: 96, v_opt: [0.13758547 0.01821543 0.00246863]
t: 0.3430732425523511, cost: 20.090545927493263, nfev: 96, v_opt: [0.13641671 0.01817397 0.00247054]
t: 0.34832057467372374, cost: 20.088781298215622, nfev: 96, v_opt: [0.13688919 0.01823479 0.00247994]
t: 0.3640625710378416, cost: 20.083547503270175, nfev: 96, v_opt: [0.13396188 0.01806678 0.00246714]
t: 0.36930990315921425, cost: 20.08180469729191, nfev: 96, v_opt: [0.1327332  0.01800798 0.00246547]
t: 0.3764153716897601, cost: 20.07940512451797, nfev: 96, v_opt: [0.13109993 0.01792202 0.00245452]
t: 0.38825781924066977, cost: 20.075416381574588, nfev: 96, v_opt: [0.12883144 0.01779468 0.00244422]
t: 0.3991500223816378, cost: 20.071762011424667, nfev: 96, v_opt: [0.12440416 0.01741262 0.00239741]
t: 0.41761569474345017, cost: 20.0655578358792, nfev: 96, v_opt: [0.11614067 0.01685765 0.0023348 ]
t: 0.4237709188640543, cost: 20.06351952791348, nfev: 96, v_opt: [0.11111207 0.01652691 0.00229976]
t: 0.40928383134268087, cost: 20.06835514073197, nfev: 96, v_opt: [0.12002353 0.01712116 0.00236554]
t: 0.42964512269473987, cost: 20.061472176188555, nfev: 96, v_opt: [0.11261295 0.01663408 0.00231146]
t: 0.438780004633851, cost: 20.05837208605435, nfev: 96, v_opt: [0.10968607 0.01645117 0.00228681]
t: 0.45396787563994895, cost: 20.053260358045815, nfev: 96, v_opt: [0.10220732 0.01596738 0.00223379]
t: 0.45903049930864825, cost: 20.05157671162983, nfev: 96, v_opt: [0.09851847 0.01574127 0.00221173]
t: 0.4478500325986607, cost: 20.05531672639191, nfev: 96, v_opt: [0.105283   0.01617595 0.00225179]
t: 0.4651820939396258, cost: 20.04944799628074, nfev: 96, v_opt: [0.09904753 0.01575349 0.00221764]
t: 0.47572907118675517, cost: 20.045899086885992, nfev: 96, v_opt: [0.0941017  0.01536266 0.00217013]
t: 0.4828290527768526, cost: 20.043506319004468, nfev: 96, v_opt: [0.0910667  0.01513895 0.00214821]
t: 0.49358202030001563, cost: 20.039905152884796, nfev: 96, v_opt: [0.08572956 0.01475108 0.0021019 ]
t: 0.5009099537044034, cost: 20.037437956256763, nfev: 96, v_opt: [0.08300562 0.01452751 0.00208557]
t: 0.5121407863944035, cost: 20.03369281730219, nfev: 96, v_opt: [0.07731853 0.01411171 0.00204382]
t: 0.519614363427768, cost: 20.03118855638497, nfev: 96, v_opt: [0.07466372 0.01391423 0.00201775]
t: 0.5308042618378612, cost: 20.027476280681498, nfev: 96, v_opt: [0.06906675 0.01352896 0.00196627]
t: 0.5381977664857741, cost: 20.02501266444362, nfev: 96, v_opt: [0.06658131 0.01346834 0.00187995]
t: 0.5491883820194194, cost: 20.021387570657453, nfev: 96, v_opt: [0.06140769 0.01295765 0.00215508]
t: 0.5564573370775492, cost: 20.018980831129152, nfev: 96, v_opt: [0.05912731 0.01337888 0.00231643]
t: 0.5672735867182928, cost: 20.01543518098076, nfev: 96, v_opt: [0.05554245 0.01444462 0.00205186]
t: 0.5747038864897375, cost: 20.012995233636023, nfev: 96, v_opt: [0.05323554 0.01403737 0.00203954]
t: 0.5861785361633277, cost: 20.009264088626107, nfev: 96, v_opt: [0.0478566  0.01361758 0.00197449]
t: 0.5936128705935793, cost: 20.006839047946865, nfev: 96, v_opt: [0.04538876 0.01339094 0.00194574]
t: 0.6044412242107436, cost: 20.003343243802156, nfev: 96, v_opt: [0.0399792  0.01306604 0.00186753]
t: 0.6115500071911487, cost: 20.001040305917176, nfev: 96, v_opt: [0.03812743 0.01290549 0.00185521]
t: 0.6220480025151998, cost: 19.99767363742338, nfev: 96, v_opt: [0.03420895 0.01263205 0.00183183]
t: 0.6292270913234531, cost: 19.995367579683077, nfev: 96, v_opt: [0.03227884 0.01251771 0.0018254 ]
t: 0.6402663624241622, cost: 19.991854219979786, nfev: 96, v_opt: [0.02863502 0.01264476 0.00173858]
t: 0.6478863415625854, cost: 19.98942593938711, nfev: 96, v_opt: [0.02671144 0.01254134 0.00173648]
t: 0.6597070078771456, cost: 19.98569519346554, nfev: 96, v_opt: [0.02294133 0.01254419 0.00171885]
t: 0.6678033300259402, cost: 19.983136936905876, nfev: 96, v_opt: [0.02139752 0.01266305 0.0017466 ]
t: 0.6802716301577634, cost: 19.979236019906068, nfev: 96, v_opt: [0.01830095 0.01328922 0.00184809]
t: 0.6889514709267892, cost: 19.976520363346726, nfev: 96, v_opt: [0.01688315 0.01387945 0.00193024]
t: 0.7025226931020433, cost: 19.9723273335175, nfev: 84, v_opt: [0. 0. 0.]
t: 0.6950266908796531, cost: 19.97463541374259, nfev: 96, v_opt: [0.01567178 0.01473022 0.00205608]
t: 0.7082753917270889, cost: 19.970543225068262, nfev: 84, v_opt: [0. 0. 0.]
t: 0.7135696088146062, cost: 19.968878489245963, nfev: 84, v_opt: [0. 0. 0.]
t: 0.7215030395686965, cost: 19.9664221136577, nfev: 84, v_opt: [0. 0. 0.]
t: 0.7505922856670281, cost: 19.95742911726986, nfev: 84, v_opt: [0. 0. 0.]
t: 0.7638146702571788, cost: 19.953447957873415, nfev: 84, v_opt: [0. 0. 0.]
t: 0.8299265932079322, cost: 19.93371464522139, nfev: 84, v_opt: [0. 0. 0.]
t: 0.8416798239547327, cost: 19.930411907606278, nfev: 84, v_opt: [0. 0. 0.]
t: 0.8563713623882335, cost: 19.92608638984667, nfev: 84, v_opt: [0. 0. 0.]
t: 0.9118018604925413, cost: 19.909617141187272, nfev: 100, v_opt: [-0.020512    0.02034375  0.00390935]
t: 0.9395171095446951, cost: 19.901761471521162, nfev: 84, v_opt: [0. 0. 0.]
t: 1.0780933548054645, cost: 19.863841639465335, nfev: 96, v_opt: [-1.78594906e-01 -4.78640794e-03 -2.07060711e-05]
t: 1.1027291317407124, cost: 19.857871402401926, nfev: 96, v_opt: [-0.56110646 -0.03226406 -0.00302126]
t: 1.1335238529097722, cost: 19.849095260181375, nfev: 96, v_opt: [-0.54365388 -0.03118355 -0.00291364]
t: 0.8674574620090951, cost: 19.922621349083514, nfev: 84, v_opt: [0. 0. 0.]
t: 0.8730005118195259, cost: 19.92101883645159, nfev: 84, v_opt: [0. 0. 0.]
t: 0.9007157608716797, cost: 19.913012247408574, nfev: 100, v_opt: [-0.02100245  0.021955    0.004252  ]
t: 0.8829561853047881, cost: 19.918125926843857, nfev: 100, v_opt: [-0.02104596  0.02186889  0.00351387]
t: 0.8896023910339268, cost: 19.916212914600884, nfev: 85, v_opt: [-0.00086498  0.00063229  0.00010014]
t: 0.8951350146775914, cost: 19.91458790757346, nfev: 85, v_opt: [-0.00079226  0.00064063  0.00010109]
t: 0.9173346288678793, cost: 19.908097940199838, nfev: 84, v_opt: [0. 0. 0.]
t: 0.9057601410500592, cost: 19.911563478957344, nfev: 100, v_opt: [-0.02020961  0.01624361  0.00311164]
t: 0.9312579642937949, cost: 19.904168760924808, nfev: 85, v_opt: [-0.00084829  0.00066829  0.00010753]
