nohup: ignoring input
Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Solving IVP
t: 0.0, error: 200.0, nfev: 10, res.x: 98.37387624884332
t: 9.002100049381279e-07, error: 200.0118079682329, nfev: 10, res.x: 98.37387624884332
t: 1.800420009876256e-05, error: 200.23629181354596, nfev: 10, res.x: 98.37387624884332
t: 2.7006300148143836e-05, error: 200.35454228805474, nfev: 10, res.x: 98.37387624884332
t: 7.201680039505024e-05, error: 200.94684032823793, nfev: 10, res.x: -98.37387624884333
t: 8.001866710561137e-05, error: 201.7438564774671, nfev: 10, res.x: -98.37387624884333
t: 9.002100049381279e-05, error: 201.172660807059, nfev: 10, res.x: -98.37387624884333
t: 9.002100049381279e-05, error: 200.09538609459227, nfev: 10, res.x: -98.37387624884333
t: 5.804910082300186e-06, error: 200.07615469413503, nfev: 10, res.x: 98.37387624884332
t: 8.707365123450278e-06, error: 200.11424291129129, nfev: 10, res.x: 98.37387624884332
t: 2.3219640329200744e-05, error: 200.30479269763254, nfev: 10, res.x: -98.37387624884333
t: 2.57996003657786e-05, error: 200.56060720786493, nfev: 10, res.x: -98.37387624884333
t: 2.9024550411500928e-05, error: 200.37734234599804, nfev: 10, res.x: -98.37387624884333
t: 2.9024550411500928e-05, error: 200.03074939918355, nfev: 10, res.x: -98.37387624884333
t: 2.327699293822991e-06, error: 200.03053363737178, nfev: 10, res.x: 98.37387624884332
t: 3.491548940734486e-06, error: 200.0458022038651, nfev: 10, res.x: 98.37387624884332
t: 9.310797175291963e-06, error: 200.12216251438474, nfev: 10, res.x: -98.37387624884333
t: 1.0345330194768847e-05, error: 200.22460856748256, nfev: 10, res.x: -98.37387624884333
t: 1.1638496469114954e-05, error: 200.15122441156137, nfev: 10, res.x: -98.37387624884333
t: 1.1638496469114954e-05, error: 200.01232957256587, nfev: 10, res.x: -98.37387624884333
t: 1.117816365376896e-06, error: 200.01466239459802, nfev: 10, res.x: 98.37387624884332
t: 1.6767245480653438e-06, error: 200.02199399496652, nfev: 10, res.x: 98.37387624884332
t: 4.471265461507584e-06, error: 200.0586560275022, nfev: 10, res.x: -98.37387624884333
t: 4.968072735008426e-06, error: 200.10783091107248, nfev: 10, res.x: -98.37387624884333
t: 5.58908182688448e-06, error: 200.07260728642535, nfev: 10, res.x: -98.37387624884333
t: 5.58908182688448e-06, error: 200.00592085809848, nfev: 10, res.x: -98.37387624884333
t: 6.210868526406136e-07, error: 200.008146662071, nfev: 10, res.x: 98.37387624884332
t: 9.316302789609204e-07, error: 200.01222011754177, nfev: 10, res.x: 98.37387624884332
t: 2.4843474105624543e-06, error: 200.03258863924754, nfev: 10, res.x: -98.45971347493901
t: 2.7603860117360602e-06, error: 200.0599167284828, nfev: 10, res.x: -96.5558146251367
t: 3.105434263203068e-06, error: 200.04012333117532, nfev: 10, res.x: -98.00175690919798
t: 3.105434263203068e-06, error: 200.0030441106853, nfev: 10, res.x: -96.5558146251367
t: 3.733923593584925e-07, error: 200.0048976671333, nfev: 10, res.x: 98.37387624884332
t: 5.600885390377388e-07, error: 200.00734654567475, nfev: 10, res.x: 98.37387624884332
t: 1.49356943743397e-06, error: 200.0195913881302, nfev: 10, res.x: -88.67257583746114
t: 1.6595215971488555e-06, error: 200.03531067452485, nfev: 10, res.x: -92.29856737469505
t: 1.8669617967924626e-06, error: 200.02450931461192, nfev: 10, res.x: -92.29856737469505
t: 1.8669617967924626e-06, error: 200.00326050999854, nfev: 10, res.x: -92.70509831248425
t: 2.7529761853882447e-07, error: 200.003610978445, nfev: 10, res.x: 98.37387624884332
t: 4.129464278082366e-07, error: 200.00541649211556, nfev: 10, res.x: 98.37387624884332
t: 1.1011904741552979e-06, error: 200.01444430494814, nfev: 10, res.x: -81.15294937452681
t: 1.2235449712836641e-06, error: 200.025632129751, nfev: 10, res.x: -82.07837363781445
t: 1.3764880926941222e-06, error: 200.01794127415212, nfev: 10, res.x: -92.29856737469505
t: 1.3764880926941222e-06, error: 200.00269773826835, nfev: 10, res.x: -88.67257583746114
t: 1.9192319886239934e-07, error: 200.00251737971135, nfev: 10, res.x: 98.37387624884332
t: 2.87884798293599e-07, error: 200.00377608144913, nfev: 10, res.x: 98.37387624884332
t: 7.676927954495973e-07, error: 200.01006970895907, nfev: 10, res.x: -70.00733137435857
t: 8.529919949439969e-07, error: 200.01745429198985, nfev: 10, res.x: -51.97334262446373
t: 9.596159943119966e-07, error: 200.01185092896645, nfev: 10, res.x: -81.15294937452681
t: 9.596159943119966e-07, error: 200.00175413338906, nfev: 10, res.x: -51.97334262446373
t: 1.152180656415163e-07, error: 200.00151126540723, nfev: 10, res.x: 98.37387624884332
t: 1.7282709846227443e-07, error: 200.00226690239322, nfev: 10, res.x: 98.37387624884332
t: 4.608722625660652e-07, error: 200.00604513014613, nfev: 10, res.x: -51.97334262446373
t: 5.120802917400724e-07, error: 200.01007536841564, nfev: 10, res.x: -51.97334262446373
t: 5.760903282075815e-07, error: 200.00750010809588, nfev: 10, res.x: -51.97334262446373
t: 5.760903282075815e-07, error: 200.00224842467262, nfev: 10, res.x: -22.291236000336493
t: 8.763748867026056e-08, error: 200.00114950189874, nfev: 10, res.x: 98.37387624884332
t: 1.3145623300539082e-07, error: 200.00172425532563, nfev: 10, res.x: 98.37387624884332
t: 3.5054995468104225e-07, error: 200.00459804723533, nfev: 10, res.x: 98.37387624884332
t: 3.8949994964560244e-07, error: 200.00510894789772, nfev: 10, res.x: -22.291236000336493
t: 4.3818744335130276e-07, error: 200.00767599719677, nfev: 10, res.x: -51.97334262446373
t: 4.3818744335130276e-07, error: 200.00687002702554, nfev: 10, res.x: -51.97334262446373
t: 5.653128555337632e-08, error: 200.0007414949331, nfev: 10, res.x: 98.37387624884332
t: 8.479692833006447e-08, error: 200.00111224343055, nfev: 10, res.x: 98.37387624884332
t: 2.2612514221350528e-07, error: 200.00296599622675, nfev: 10, res.x: 98.37387624884332
t: 2.5125015801500584e-07, error: 200.0032955540782, nfev: 10, res.x: 98.37387624884332
t: 2.826564277668816e-07, error: 200.00370750215612, nfev: 10, res.x: 98.37387624884332
t: 2.826564277668816e-07, error: 200.00370750215612, nfev: 10, res.x: 98.37387624884332
t: 3.391877133202579e-07, error: 200.0044490108345, nfev: 10, res.x: 98.37387624884332
t: 3.6745335609694607e-07, error: 200.00481976620463, nfev: 10, res.x: 98.37387624884332
t: 5.087815699803869e-07, error: 200.00667355336412, nfev: 10, res.x: -51.97334262446373
t: 5.339065857818874e-07, error: 200.00865096980368, nfev: 10, res.x: 98.37387624884332
t: 5.653128555337632e-07, error: 200.005837495181, nfev: 10, res.x: -51.97334262446373
t: 5.653128555337632e-07, error: 200.00298401193243, nfev: 10, res.x: -22.291236000336493
t: 3.158934068831057e-07, error: 200.00414346410872, nfev: 10, res.x: 98.37387624884332
t: 3.325118964412178e-07, error: 200.00436144544136, nfev: 10, res.x: 98.37387624884332
t: 4.156043442317782e-07, error: 200.00545135566824, nfev: 10, res.x: 54.41252825119872
t: 4.3037633495010003e-07, error: 200.0059284021981, nfev: 10, res.x: -22.291236000336493
t: 4.4884132334800234e-07, error: 200.00634747812902, nfev: 10, res.x: 12.461182897383772
t: 4.4884132334800234e-07, error: 200.00586579246323, nfev: 10, res.x: -22.291236000336493
t: 3.082243841441597e-07, error: 200.00404287118423, nfev: 10, res.x: 98.37387624884332
t: 3.210083623327988e-07, error: 200.00421055590914, nfev: 10, res.x: 98.37387624884332
t: 3.849282532759941e-07, error: 200.00504898164257, nfev: 10, res.x: 98.37387624884332
t: 3.962917894436733e-07, error: 200.00519803547428, nfev: 10, res.x: 98.37387624884332
t: 4.1049620965327224e-07, error: 200.00538435292003, nfev: 10, res.x: 54.41252825119872
t: 4.1049620965327224e-07, error: 200.0052862231587, nfev: 10, res.x: 72.44651700109357
t: 4.360641660305504e-07, error: 200.00553320442378, nfev: 10, res.x: 25.23292150113563
t: 4.4884814421918946e-07, error: 200.00547561685883, nfev: 10, res.x: -22.291236000336493
t: 5.127680351623848e-07, error: 200.00353692657978, nfev: 10, res.x: -22.291236000336493
t: 5.241315713300639e-07, error: 200.00032303524927, nfev: 10, res.x: 72.44651700109357
t: 5.383359915396629e-07, error: 200.00034642477124, nfev: 10, res.x: 54.41252825119872
t: 5.383359915396629e-07, error: 200.00470406138572, nfev: 10, res.x: -51.97334262446373
t: 5.672332861448908e-07, error: 200.00450380491026, nfev: 10, res.x: -51.97334262446373
t: 5.816819334475046e-07, error: 200.00440367674773, nfev: 10, res.x: -51.97334262446373
t: 6.539251699605743e-07, error: 200.0039030366869, nfev: 10, res.x: -51.97334262446373
t: 6.667684120073422e-07, error: 200.0038140341406, nfev: 10, res.x: -51.97334262446373
t: 6.828224645658021e-07, error: 200.00370278101343, nfev: 10, res.x: -51.97334262446373
t: 6.828224645658021e-07, error: 200.00370278101343, nfev: 10, res.x: -51.97334262446373
t: 9.717954106180806e-07, error: 200.0017002353066, nfev: 10, res.x: -51.97334262446373
t: 1.1162818836442198e-06, error: 200.000698969972, nfev: 10, res.x: -88.67257583746114
t: 1.838714248774916e-06, error: 199.9705568591333, nfev: 10, res.x: -82.07837363781445
t: 1.9671466692425953e-06, error: 199.9270541636028, nfev: 10, res.x: 53.59946637562038
t: 2.1276871948271945e-06, error: 199.92355795904317, nfev: 10, res.x: 52.84081075552742
t: 2.1276871948271945e-06, error: 199.9828265188691, nfev: 10, res.x: -70.00733137435857
t: 8.58331105270033e-07, error: 200.00248652609883, nfev: 10, res.x: -51.97334262446373
t: 9.460854256221485e-07, error: 200.00187840141507, nfev: 10, res.x: -70.00733137435857
t: 1.3848570273827256e-06, error: 199.99133548136183, nfev: 10, res.x: -70.00733137435857
t: 1.4628608676957171e-06, error: 199.97818497863085, nfev: 10, res.x: -51.97334262446373
t: 1.5603656680869565e-06, error: 199.97824201479335, nfev: 10, res.x: -70.00733137435857
t: 1.5603656680869565e-06, error: 199.99502363294403, nfev: 10, res.x: -76.8400229886813
t: 8.18544831923005e-07, error: 200.0027622397988, nfev: 10, res.x: -70.00733137435857
t: 8.864060156016063e-07, error: 200.00192482463285, nfev: 10, res.x: -70.00733137435857
t: 1.2257119339946136e-06, error: 200.00023073059725, nfev: 10, res.x: -82.07837363781445
t: 1.2860329861533702e-06, error: 200.00320772641362, nfev: 10, res.x: -82.07837363781445
t: 1.3614343013518162e-06, error: 200.00200744732183, nfev: 10, res.x: -70.00733137435857
t: 1.3614343013518162e-06, error: 199.99715814901094, nfev: 10, res.x: -92.70509831248424
t: 7.923148486638725e-07, error: 200.00294401037945, nfev: 10, res.x: -51.97334262446373
t: 8.470610407129076e-07, error: 200.0025646261419, nfev: 10, res.x: -70.00733137435857
t: 1.1207920009580835e-06, error: 199.99598725848023, nfev: 10, res.x: -70.00733137435857
t: 1.1694552827794482e-06, error: 199.98778292624655, nfev: 10, res.x: -81.15294937452681
t: 1.230284385056154e-06, error: 199.98840108734754, nfev: 10, res.x: -81.15294937452681
t: 1.230284385056154e-06, error: 199.9988682909579, nfev: 10, res.x: -70.00733137435857
t: 1.3397767691542243e-06, error: 199.9978462634036, nfev: 10, res.x: -72.49956732432074
t: 1.3945229612032594e-06, error: 199.99729432000623, nfev: 10, res.x: -81.15294937452681
t: 1.6682539214484353e-06, error: 199.99256674636322, nfev: 10, res.x: -81.15294937452681
t: 1.7169172032698e-06, error: 199.98868068864365, nfev: 10, res.x: -81.15294937452681
t: 1.7777463055465057e-06, error: 199.98846546680267, nfev: 10, res.x: -70.00733137435857
t: 1.7777463055465057e-06, error: 199.99312534587006, nfev: 10, res.x: -81.15294937452681
t: 1.8787679133870933e-06, error: 199.99203229290762, nfev: 10, res.x: -51.97334262446373
t: 1.929278717307387e-06, error: 199.99192791595004, nfev: 10, res.x: -51.97334262446373
t: 2.181832736908856e-06, error: 199.98840382439028, nfev: 10, res.x: -92.70509831248424
t: 2.2267312292824502e-06, error: 199.9850097794873, nfev: 10, res.x: -70.00733137435857
t: 2.2828543447494435e-06, error: 199.98360065583154, nfev: 10, res.x: -81.15294937452681
t: 2.2828543447494435e-06, error: 199.98779445940465, nfev: 10, res.x: -70.00733137435857
t: 1.8543256481730963e-06, error: 199.99229675746753, nfev: 10, res.x: -51.97334262446373
t: 1.8926153194863916e-06, error: 199.99221763449532, nfev: 10, res.x: -51.97334262446373
t: 2.084063676052868e-06, error: 199.98954619036493, nfev: 10, res.x: -85.30471655688797
t: 2.118098939442464e-06, error: 199.98686345382447, nfev: 10, res.x: -85.30471655688797
t: 2.1606430186794586e-06, error: 199.98622390631263, nfev: 10, res.x: -88.04132012425342
t: 2.1606430186794586e-06, error: 199.98953592126279, nfev: 10, res.x: -88.04132012425342
t: 2.237222361306049e-06, error: 199.98863701746205, nfev: 10, res.x: -88.04132012425342
t: 2.2755120326193447e-06, error: 199.98818756707686, nfev: 10, res.x: -92.70509831248424
t: 2.466960389185821e-06, error: 199.98509381604185, nfev: 10, res.x: -51.97334262446373
t: 2.5009956525754168e-06, error: 199.98266673903623, nfev: 10, res.x: -81.15294937452681
t: 2.5435397318124114e-06, error: 199.9833374260217, nfev: 10, res.x: -22.291236000336493
t: 2.5435397318124114e-06, error: 199.98645939200628, nfev: 10, res.x: -70.00733137435857
t: 2.2122933021776516e-06, error: 199.98892963935282, nfev: 10, res.x: -76.8400229886813
t: 2.2381184439267484e-06, error: 199.98871327669656, nfev: 10, res.x: -76.8400229886813
t: 2.3672441526722316e-06, error: 199.9870422401728, nfev: 10, res.x: -88.04132012425342
t: 2.390199834226984e-06, error: 199.9861575873096, nfev: 10, res.x: -51.97334262446373
t: 2.4188944361704247e-06, error: 199.9854509025111, nfev: 10, res.x: -88.04132012425342
t: 2.4188944361704247e-06, error: 199.98627744174672, nfev: 10, res.x: -70.00733137435857
t: 2.201060646081559e-06, error: 199.98906149048037, nfev: 10, res.x: -51.97334262446373
t: 2.2212694597826094e-06, error: 199.98904293072283, nfev: 10, res.x: -59.67476875630698
t: 2.3223135282878605e-06, error: 199.98672765589473, nfev: 10, res.x: -81.15294937452681
t: 2.3402769182443493e-06, error: 199.98361224340263, nfev: 10, res.x: -56.23058662817453
t: 2.3627311556899607e-06, error: 199.9833340072645, nfev: 10, res.x: -82.07837363781445
t: 2.3627311556899607e-06, error: 199.98737269049408, nfev: 10, res.x: -70.00733137435857
t: 2.1960896873697786e-06, error: 199.98911984059947, nfev: 10, res.x: -92.70509831248424
t: 2.213813021714938e-06, error: 199.98888700465892, nfev: 10, res.x: -51.97334262446373
t: 2.3024296934407377e-06, error: 199.99131337033384, nfev: 10, res.x: -51.97334262446373
t: 2.318183768414213e-06, error: 199.99708874483855, nfev: 10, res.x: -82.07837363781445
t: 2.3378763621310577e-06, error: 199.99643069165762, nfev: 10, res.x: -70.00733137435857
t: 2.3378763621310577e-06, error: 199.98840364608895, nfev: 10, res.x: -70.00733137435857
t: 2.3721306637085927e-06, error: 199.98808392458534, nfev: 10, res.x: -70.00733137435857
t: 2.38925781449736e-06, error: 199.98792406402515, nfev: 10, res.x: -88.04132012425342
t: 2.474893568441197e-06, error: 199.98566058617246, nfev: 10, res.x: -88.67257583746114
t: 2.4901177024756574e-06, error: 199.98306157446018, nfev: 10, res.x: -70.00733137435857
t: 2.509147870018732e-06, error: 199.98301874694238, nfev: 10, res.x: -70.00733137435857
t: 2.509147870018732e-06, error: 199.98634256460682, nfev: 10, res.x: -51.97334262446373
t: 2.5431922978655825e-06, error: 199.98610666049512, nfev: 10, res.x: -70.00733137435857
t: 2.5602145117890077e-06, error: 199.9858966214925, nfev: 10, res.x: -70.00733137435857
t: 2.645325581406134e-06, error: 199.98547170978446, nfev: 10, res.x: -51.97334262446373
t: 2.660456438226956e-06, error: 199.98601970821034, nfev: 10, res.x: 54.41252825119872
t: 2.6793700092529843e-06, error: 199.98526026615096, nfev: 10, res.x: -22.291236000336493
t: 2.6793700092529843e-06, error: 199.9842890603401, nfev: 10, res.x: -51.97334262446373
t: 2.5350353782599346e-06, error: 199.98616318222668, nfev: 10, res.x: -51.97334262446373
t: 2.5479791323805356e-06, error: 199.98607349109693, nfev: 10, res.x: -51.97334262446373
t: 2.6126979029835414e-06, error: 199.98562503605163, nfev: 10, res.x: -70.00733137435857
t: 2.6242034622018537e-06, error: 199.98563581482642, nfev: 10, res.x: -51.97334262446373
t: 2.638585411224744e-06, error: 199.9853590095165, nfev: 10, res.x: -51.97334262446373
t: 2.638585411224744e-06, error: 199.9852430411117, nfev: 10, res.x: -51.97334262446373
t: 2.6644729194659462e-06, error: 199.98506365971787, nfev: 10, res.x: -22.291236000336493
t: 2.6774166735865472e-06, error: 199.9850892198217, nfev: 10, res.x: -22.291236000336493
t: 2.742135444189553e-06, error: 199.9844344544396, nfev: 10, res.x: 98.37387624884332
